"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categoryName","url"
"Church's Texas Chicken","3.7","799","3780 Minnesota Ave NE","Washington","District of Columbia","US","https://locations.churchs.com/dc/washington/3780-minnesota-avenue-n.e.","(202) 866-6000","Chicken restaurant","https://www.google.com/maps/search/?api=1&query=Church's%20Texas%20Chicken&query_place_id=ChIJu86B8SK5t4kRv7CyvTl0mIA"
"Blue Ribbon Fried Chicken","4.1","2607","28 E 1st St","New York","New York","US","https://www.blueribbonfriedchicken.com/","(212) 228-0404","Chicken restaurant","https://www.google.com/maps/search/?api=1&query=Blue%20Ribbon%20Fried%20Chicken&query_place_id=ChIJL64z94RZwokRG586qvq-9aI"
"New Kennedy Fried Chicken & Burgers","4","200","1 W 137th St","New York","New York","US",,"(212) 862-5168","Chicken restaurant","https://www.google.com/maps/search/?api=1&query=New%20Kennedy%20Fried%20Chicken%20%26%20Burgers&query_place_id=ChIJXZTUInb2wokRkeGipxWwAlI"
"Greedy Pot","4.5","222","1944 Adam Clayton Powell Jr Blvd","New York","New York","US","https://greedypotnewyork.com/","(917) 675-7676","Southern restaurant (US)","https://www.google.com/maps/search/?api=1&query=Greedy%20Pot&query_place_id=ChIJ0d_0EQL3wokRlyHE0MH7R_o"
"Popeyes Louisiana Kitchen","4.2","488","2534 Broadway","New York","New York","US","https://www.popeyes.com/store-locator/store/restaurant_90209","(917) 409-3737","Chicken restaurant","https://www.google.com/maps/search/?api=1&query=Popeyes%20Louisiana%20Kitchen&query_place_id=ChIJZZ0NrY33wokR6gdk1l7mFQE"
"Crown Fried Chicken","4.2","238","766 Castle Hill Ave","Bronx","New York","US","https://www.crown-fried-chicken.com/","(718) 931-7875","Chicken restaurant","https://www.google.com/maps/search/?api=1&query=Crown%20Fried%20Chicken&query_place_id=ChIJddRvm9H0wokRRGhW5eIuUy4"
"New York Fried Chicken","4.4","212","147-01 Liberty Ave","Jamaica","New York","US",,"(718) 523-1900","Chicken restaurant","https://www.google.com/maps/search/?api=1&query=New%20York%20Fried%20Chicken&query_place_id=ChIJqapqvdFgwokR8ZrpXstu7tg"
"Linden Fried Chicken","4.1","159","2596 Linden Blvd","Brooklyn","New York","US",,"(718) 272-0315","Chicken restaurant","https://www.google.com/maps/search/?api=1&query=Linden%20Fried%20Chicken&query_place_id=ChIJa491IKNdwokRMzMTK2tYBiU"
"Charles Pan-Fried Chicken","4.5","2824","146 W 72nd St","New York","New York","US","https://www.charlespanfriedchicken.com/","(646) 632-7869","Soul food restaurant","https://www.google.com/maps/search/?api=1&query=Charles%20Pan-Fried%20Chicken&query_place_id=ChIJ7_ptNH72wokRWJ29NvzJSd0"
"H & Chicken","4.1","1404","716 H St NE","Washington","District of Columbia","US","http://www.hchicken.com/",,"Fast food restaurant","https://www.google.com/maps/search/?api=1&query=H%20%26%20Chicken&query_place_id=ChIJA4WSoj24t4kRq6qC-Ut1dTo"
"Gyro Loco & Prince Chicken","4.6","344","11 Anderson Ave","Fairview","New Jersey","US","http://www.gyroloconj.com/","(201) 945-4555","Mediterranean restaurant","https://www.google.com/maps/search/?api=1&query=Gyro%20Loco%20%26%20Prince%20Chicken&query_place_id=ChIJ7_KKisP3wokR_KDxzCNBbKY"
"Crown Fried Chicken & Pizza","3.7","258","1181 Sutter Ave","Brooklyn","New York","US",,"(718) 841-6570","Chicken restaurant","https://www.google.com/maps/search/?api=1&query=Crown%20Fried%20Chicken%20%26%20Pizza&query_place_id=ChIJHQVCArtdwokRk1h-4xjkCzQ"
"Passaic Fried Chicken","4.6","347","357 Monroe St # A","Passaic","New Jersey","US",,"(973) 472-4447","Chicken restaurant","https://www.google.com/maps/search/?api=1&query=Passaic%20Fried%20Chicken&query_place_id=ChIJPVxv89H-wokRxNdXilXqnZw"
"Uncle’s Fried Chicken","4","336","163-04 Hillside Ave.","Jamaica","New York","US",,"(718) 374-3466","Fried chicken takeaway","https://www.google.com/maps/search/?api=1&query=Uncle%E2%80%99s%20Fried%20Chicken&query_place_id=ChIJgdioI95gwokR3xIrq1ttIOM"
"Palace Fried Chicken","4.3","497","21-02 36th Ave","Long Island City","New York","US",,"(718) 729-4811","Fast food restaurant","https://www.google.com/maps/search/?api=1&query=Palace%20Fried%20Chicken&query_place_id=ChIJdSPNOc1YwokRYWesmDTmqYI"
"Chirping Chicken","4.3","1541","355 Amsterdam Ave","New York","New York","US","https://www.chirpingchicken.com/","(212) 787-6631","Chicken restaurant","https://www.google.com/maps/search/?api=1&query=Chirping%20Chicken&query_place_id=ChIJtTa-AolYwokRUKSixrDvBaQ"
